================================================================================
HMM 状態別デコード分析  k=7
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
================================================================================

────────────────────────────────────────────────────────────────────────────────
  State 0: S0
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  ek                100.0%    100%    N/A    100%
  deeeese            85.7%      0%    100%    100%
  eeedeed            85.7%    100%    100%      0%
  eeoeety            85.7%    100%    100%      0%
  ekokeey            85.7%    100%    100%      0%
  eeeody             83.3%    100%    100%      0%
  eetees             83.3%    100%    100%      0%
  eteeda             83.3%    100%    100%      0%
  eteedy             83.3%    100%    100%      0%
  etsees             83.3%    100%    100%      0%
  lkeede             83.3%      0%    100%    100%
  okeokeokeody       83.3%      0%    100%      0%
  okesoe             83.3%      0%    100%    100%
  eeedy              80.0%    100%    100%      0%
  eeeey              80.0%    100%    100%      0%
  eeody              80.0%    100%    100%      0%
  eesey              80.0%    100%    100%      0%
  ekedy              80.0%    100%    100%      0%
  ekeey              80.0%    100%    100%      0%
  esedy              80.0%    100%    100%      0%
  etedy              80.0%    100%    100%      0%
  chesokeeoteody     78.6%      0%     92%      0%
  aeeodeey           75.0%      0%    100%      0%
  eddy               75.0%    100%    100%      0%
  eedy               75.0%    100%    100%      0%
  eeer               75.0%    100%    100%      0%
  eees               75.0%    100%    100%      0%
  eeey               75.0%    100%    100%      0%
  eeoseeos           75.0%    100%     83%      0%
  eesy               75.0%    100%    100%      0%

────────────────────────────────────────────────────────────────────────────────
  State 1: S1
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  ch                 50.0%    100%    N/A      0%
  chcs               50.0%    100%     50%      0%
  chct               50.0%    100%     50%      0%
  co                 50.0%    100%    N/A      0%
  cs                 50.0%    100%    N/A      0%
  cy                 50.0%    100%    N/A      0%
  oc                 50.0%      0%    N/A    100%
  sh                 50.0%    100%    N/A      0%
  chchsty            42.9%    100%     40%      0%
  chckshy            42.9%    100%     40%      0%
  chchs              40.0%    100%     33%      0%
  chchy              40.0%    100%     33%      0%
  chckh              40.0%    100%     33%      0%
  chcky              40.0%    100%     33%      0%
  chcpy              40.0%    100%     33%      0%
  chcta              40.0%    100%     33%      0%
  chcth              40.0%    100%     33%      0%
  chcty              40.0%    100%     33%      0%
  chshd              40.0%    100%     33%      0%
  chsho              40.0%    100%     33%      0%
  chshy              40.0%    100%     33%      0%
  ckcho              40.0%    100%     33%      0%
  ckshy              40.0%    100%     33%      0%
  cpchy              40.0%    100%     33%      0%
  ctchy              40.0%    100%     33%      0%
  kccky              40.0%      0%     67%      0%
  shchs              40.0%    100%     33%      0%
  shchy              40.0%    100%     33%      0%
  shcty              40.0%    100%     33%      0%
  shshy              40.0%    100%     33%      0%

────────────────────────────────────────────────────────────────────────────────
  State 2: S2
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  aiy                66.7%    100%      0%    100%
  alg                66.7%    100%      0%    100%
  alo                66.7%    100%      0%    100%
  aly                66.7%    100%      0%    100%
  amg                66.7%    100%      0%    100%
