# 複合語一覧 (3363 語) — 貪欲マッチによる V4 ベース分離
# 形式: [N基] 元語  ->  base1 + base2 + ...

[2基] acheody  ->  a + cheody
[4基] ackaldy  ->  a + ck + al + dy
[2基] acthedy  ->  a + cthedy
[3基] adairchdy  ->  ad + air + chdy
[2基] adal  ->  ad + al
[2基] adam  ->  ad + am
[2基] adar  ->  ad + ar
[2基] adchey  ->  ad + chey
[2基] adeeody  ->  ad + eeody
[2基] ador  ->  ado + r
[3基] aeeodeey  ->  a + eeod + eey
[3基] aekeeey  ->  a + ek + eeey
[2基] aes  ->  a + es
[2基] ag  ->  a + g
[3基] aicky  ->  ai + ck + y
[2基] aiees  ->  ai + ees
[3基] aifhhy  ->  aif + h + hy
[2基] aifhy  ->  aif + hy
[2基] aiichy  ->  aii + chy
[2基] aiicthy  ->  aii + cthy
[2基] aiidal  ->  aiid + al
[2基] aiiikhedy  ->  aiiik + hedy
[2基] aiiiky  ->  aiiik + y
[2基] aiiinro  ->  aiiinr + o
[2基] aiikam  ->  aiik + am
[2基] aiildy  ->  aiil + dy
[2基] aiinal  ->  aiin + al
[2基] aiinod  ->  aiino + d
[2基] aiinog  ->  aiino + g
[2基] aiioly  ->  aiio + ly
[2基] aiiral  ->  aiir + al
[2基] aiiraly  ->  aiir + aly
[2基] aiirchar  ->  aiir + char
[2基] aiirody  ->  aiiro + dy
[2基] aiirol  ->  aiiro + l
[2基] aiisaim  ->  aiis + aim
[2基] aiisockhy  ->  aiiso + ckhy
[2基] aiisod  ->  aiiso + d
[2基] aikhdy  ->  aik + hdy
[2基] aikheky  ->  aik + heky
[2基] aikhy  ->  aik + hy
[2基] aildy  ->  ail + dy
[2基] ainaly  ->  ain + aly
[2基] ainam  ->  ain + am
[3基] ainarals  ->  ain + ar + als
[2基] aindar  ->  ain + dar
[2基] aiodam  ->  aio + dam
[2基] aiphey  ->  aip + hey
[3基] aiphhey  ->  aip + h + hey
[2基] aiphy  ->  aip + hy
[2基] airal  ->  air + al
[3基] airaldy  ->  air + al + dy
[2基] airam  ->  air + am
[2基] airar  ->  air + ar
[2基] airchy  ->  air + chy
[2基] airod  ->  airo + d
[2基] airody  ->  airo + dy
[2基] airol  ->  airo + l
[2基] airolm  ->  airo + lm
[2基] airols  ->  airo + ls
[2基] airorlchy  ->  airo + rlchy
[2基] airoy  ->  airo + y
[2基] aisam  ->  ais + am
[2基] aithchr  ->  ait + hchr
[2基] aithy  ->  ait + hy
[3基] akaiiky  ->  ak + aiik + y
[2基] akaiin  ->  ak + aiin
[2基] akain  ->  ak + ain
[2基] akair  ->  ak + air
[2基] akal  ->  ak + al
[2基] akar  ->  ak + ar
[3基] akarar  ->  ak + ar + ar
[2基] akchedy  ->  ak + chedy
[2基] akchy  ->  ak + chy
[2基] akey  ->  ak + ey
[2基] aky  ->  ak + y
[2基] alaiiin  ->  al + aiiin
[2基] alaiin  ->  al + aiin
[2基] alain  ->  al + ain
[2基] alair  ->  al + air
[3基] alairdy  ->  al + air + dy
[2基] alal  ->  al + al
[3基] alaldy  ->  al + al + dy
[3基] alalor  ->  al + alo + r
[2基] alam  ->  al + am
[3基] alamchy  ->  al + am + chy
[2基] alar  ->  al + ar
[2基] alcfhy  ->  al + cfhy
[2基] alchd  ->  al + chd
[2基] alchdy  ->  al + chdy
[2基] alched  ->  al + ched
[2基] alchedar  ->  al + chedar
[2基] alchedy  ->  al + chedy
[2基] alcheey  ->  al + cheey
[2基] alcheky  ->  al + cheky
[2基] alches  ->  al + ches
[2基] alchey  ->  al + chey
[2基] alchky  ->  al + chky
[2基] alchl  ->  al + chl
[2基] alchol  ->  al + chol
[2基] alchor  ->  al + chor
[2基] alchy  ->  al + chy
[2基] ald  ->  al + d
[2基] aldaiin  ->  al + daiin
[3基] aldalosam  ->  al + dalo + sam
[2基] aldam  ->  al + dam
[2基] aldar  ->  al + dar
[2基] aldy  ->  al + dy
[2基] aldydy  ->  al + dydy
[2基] aleedy  ->  al + eedy
[2基] aleey  ->  al + eey
[3基] alekeey  ->  al + ek + eey
[2基] alfo  ->  alf + o
[2基] alfshed  ->  alf + shed
[2基] alg  ->  al + g
[2基] alkaiin  ->  alk + aiin
[2基] alkain  ->  alk + ain
[2基] alkair  ->  alk + air
[2基] alkal  ->  alk + al
[2基] alkam  ->  alk + am
[2基] alkan  ->  alk + an
[2基] alkar  ->  alk + ar
[2基] alkchdy  ->  alk + chdy
[2基] alkeain  ->  alk + eain
[2基] alkedy  ->  alk + edy
[2基] alkeear  ->  alk + eear
[2基] alkeedy  ->  alk + eedy
[2基] alkeeol  ->  alk + eeol
[2基] alkeey  ->  alk + eey
[2基] alkey  ->  alk + ey
[2基] alkol  ->  alk + ol
[2基] alky  ->  alk + y
[2基] allkeam  ->  all + keam
[2基] ally  ->  all + y
[2基] aloal  ->  alo + al
[2基] alod  ->  alo + d
[2基] alodam  ->  alo + dam
[2基] alodar  ->  alo + dar
[2基] alody  ->  alo + dy
[2基] aloees  ->  alo + ees
[2基] alog  ->  alo + g
[2基] aloiiin  ->  alo + iiin
[2基] aloiin  ->  alo + iin
[2基] alol  ->  alo + l
[2基] alold  ->  alo + ld
[2基] aloldy  ->  alo + ldy
[2基] alolfchy  ->  alo + lfchy
[2基] alolor  ->  alo + lor
[2基] alols  ->  alo + ls
[3基] alolshedy  ->  alo + ls + hedy
[2基] aloly  ->  alo + ly
[2基] alom  ->  alo + m
[2基] alor  ->  alo + r
[2基] alory  ->  alo + ry
[2基] alos  ->  alo + s
[2基] alosheey  ->  alo + sheey
[2基] aloy  ->  alo + y
[2基] alpchdar  ->  alp + chdar
[2基] alpchdy  ->  alp + chdy
[2基] alshdr  ->  als + hdr
[2基] alshdy  ->  als + hdy
[2基] alshedy  ->  als + hedy
[2基] alshees  ->  als + hees
[2基] alshey  ->  als + hey
[2基] alshy  ->  als + hy
[2基] alteol  ->  alt + eol
[2基] alys  ->  aly + s
[2基] amam  ->  am + am
[2基] aman  ->  am + an
[2基] amchd  ->  am + chd
[2基] amchy  ->  am + chy
[2基] amd  ->  am + d
[2基] amg  ->  am + g
[2基] amod  ->  amo + d
[2基] amom  ->  amo + m
[2基] aol  ->  ao + l
[2基] aporair  ->  ap + orair
[2基] apy  ->  ap + y
[2基] araiin  ->  ar + aiin
[2基] arain  ->  ar + ain
[2基] arair  ->  ar + air
[3基] arairaly  ->  ar + air + aly
[3基] arakaiin  ->  ar + ak + aiin
[2基] aral  ->  ar + al
[3基] aralary  ->  ar + al + ary
[3基] arald  ->  ar + al + d
[3基] aralos  ->  ar + alo + s
[2基] arals  ->  ar + als
[2基] araly  ->  ar + aly
[2基] aram  ->  ar + am
[2基] arar  ->  ar + ar
[3基] araral  ->  ar + ar + al
[3基] araram  ->  ar + ar + am
[3基] ararchodaiin  ->  ar + ar + chodaiin
[3基] araroy  ->  ar + aro + y
[2基] arary  ->  ar + ary
[3基] araydy  ->  ar + ay + dy
[2基] archeey  ->  ar + cheey
[2基] archeody  ->  ar + cheody
[2基] archeor  ->  ar + cheor
[2基] archol  ->  ar + chol
[2基] arcsy  ->  ar + csy
[2基] are  ->  ar + e
[2基] aree  ->  ar + ee
[2基] arg  ->  ar + g
[2基] ariin  ->  ar + iin
[2基] arod  ->  aro + d
[2基] arodaim  ->  aro + daim
[2基] arodchedy  ->  aro + dchedy
[2基] arodl  ->  aro + dl
[2基] arodly  ->  aro + dly
[2基] arody  ->  aro + dy
[2基] aroiin  ->  aro + iin
[2基] aroka  ->  aro + ka
[2基] arol  ->  aro + l
[2基] arolkeey  ->  aro + lkeey
[2基] arolky  ->  aro + lky
[2基] arolor  ->  aro + lor
[2基] arolsas  ->  aro + lsas
[2基] arom  ->  aro + m
[2基] aror  ->  aro + r
[2基] arorochees  ->  aro + rochees
[3基] arorsheey  ->  aro + rs + heey
[2基] aros  ->  aro + s
[2基] aroshy  ->  aro + shy
[2基] aroteey  ->  aro + teey
[2基] arotey  ->  aro + tey
[3基] arsheg  ->  ars + he + g
[2基] arshey  ->  ars + hey
[2基] arxor  ->  ar + xor
[2基] aryly  ->  aryl + y
[2基] asa  ->  as + a
[2基] asaly  ->  as + aly
[2基] ash  ->  as + h
[2基] ataiin  ->  at + aiin
[3基] ataseos  ->  at + as + eos
[2基] ateey  ->  at + eey
[2基] atey  ->  at + ey
[2基] atolg  ->  at + olg
[2基] aty  ->  at + y
[2基] axor  ->  a + xor
[2基] cckheor  ->  c + ckheor
[3基] cckhhy  ->  c + ckh + hy
[3基] ceectheey  ->  c + eect + heey
[3基] cfarasr  ->  cf + ar + asr
[2基] cfhdorol  ->  cfhdoro + l
[2基] cfhekchdy  ->  cfhekc + hdy
[2基] cfhodoral  ->  cfhodor + al
[2基] chadaiin  ->  chad + aiin
[2基] chaiind  ->  chaiin + d
[2基] chaindy  ->  chain + dy
[2基] chairal  ->  chair + al
[2基] chakain  ->  chak + ain
[2基] chakeey  ->  chak + eey
[2基] chakod  ->  chak + od
[2基] chalaiin  ->  chal + aiin
[2基] chalal  ->  chal + al
[2基] chalaly  ->  chal + aly
[2基] chald  ->  chal + d
[2基] chalg  ->  chal + g
[2基] chalkain  ->  chalk + ain
[2基] chalkar  ->  chalk + ar
[2基] chalkeedy  ->  chalk + eedy
[2基] chalkeeedy  ->  chalk + eeedy
[2基] chalkeey  ->  chalk + eey
[2基] chalolky  ->  chalo + lky
[2基] chaloly  ->  chalo + ly
[2基] chalor  ->  chalo + r
[2基] chalsain  ->  chals + ain
[2基] chaltar  ->  chalt + ar
[2基] chapchy  ->  chap + chy
[2基] charaiin  ->  char + aiin
[2基] charain  ->  char + ain
[2基] charam  ->  char + am
[2基] chariin  ->  char + iin
[2基] charor  ->  charo + r
[2基] chataiin  ->  chat + aiin
[2基] chcfhhy  ->  chcfh + hy
[2基] chcheey  ->  chch + eey
[2基] chcheky  ->  chch + eky
[2基] chchetal  ->  chch + etal
[2基] chchky  ->  chchk + y
[2基] chchoty  ->  chchot + y
[2基] chchsty  ->  chchst + y
[2基] chchty  ->  chcht + y
[2基] chckaiin  ->  chck + aiin
[3基] chckhhhy  ->  chckh + h + hy
[2基] chckhhy  ->  chckh + hy
[2基] chckhyfchy  ->  chckhyf + chy
[2基] chckshy  ->  chck + shy
[2基] chcky  ->  chck + y
[2基] chcpaiin  ->  chcp + aiin
[2基] chcphhdy  ->  chcph + hdy
[2基] chcphhy  ->  chcph + hy
[2基] chcpy  ->  chcp + y
[2基] chcta  ->  chct + a
[2基] chctey  ->  chct + ey
[2基] chcthhy  ->  chcth + hy
[2基] chcthihy  ->  chcthi + hy
[2基] chcty  ->  chct + y
[2基] chdaiirsainy  ->  chdaiirs + ainy
[2基] chdairod  ->  chdairo + d
[2基] chdalal  ->  chdal + al
[2基] chdalchdy  ->  chdal + chdy
[2基] chdaldy  ->  chdal + dy
[2基] chdalkair  ->  chdalk + air
[2基] chdalor  ->  chdalo + r
[2基] chdarol  ->  chdaro + l
[2基] chdchdy  ->  chd + chdy
[2基] chdchol  ->  chd + chol
[2基] chdchy  ->  chd + chy
[2基] chdedy  ->  chd + edy
[2基] chdeey  ->  chd + eey
[3基] chdlcty  ->  chdl + ct + y
[2基] chdodaiin  ->  chdod + aiin
[2基] chdolaiin  ->  chdol + aiin
[2基] chdykchedy  ->  chdyk + chedy
[2基] chdypdaiin  ->  chdyp + daiin
[2基] chdyshdy  ->  chdys + hdy
[2基] cheaikhy  ->  cheaik + hy
[2基] chealol  ->  chealo + l
[2基] chealor  ->  chealo + r
[2基] chealror  ->  chealr + or
[2基] cheamar  ->  cheam + ar
[2基] chearaiin  ->  chear + aiin
[2基] checfhy  ->  checf + hy
[2基] chechey  ->  chech + ey
[2基] checkhd  ->  check + hd
[2基] checkhdy  ->  check + hdy
[2基] checkhed  ->  check + hed
[2基] checkhedy  ->  check + hedy
[2基] checkhey  ->  check + hey
[2基] checkho  ->  check + ho
[2基] checkhol  ->  check + hol
[2基] checkhy  ->  check + hy
[2基] checphedy  ->  checp + hedy
[2基] checphey  ->  checp + hey
[2基] checthal  ->  chect + hal
[2基] chectham  ->  chect + ham
[2基] checthdy  ->  chect + hdy
[2基] checthedy  ->  chect + hedy
[2基] checthey  ->  chect + hey
[3基] checthhy  ->  chect + h + hy
[2基] checthy  ->  chect + hy
[2基] chedacphy  ->  cheda + cphy
[2基] chedalkedy  ->  chedalk + edy
[2基] chedalos  ->  chedalo + s
[2基] chedchey  ->  ched + chey
[2基] chedchy  ->  ched + chy
[2基] chedees  ->  ched + ees
[2基] chedeey  ->  ched + eey
[2基] chedey  ->  ched + ey
[2基] chedkain  ->  chedk + ain
[2基] chedkaly  ->  chedk + aly
[2基] chedkel  ->  chedk + el
[2基] chedky  ->  chedk + y
[2基] chedykar  ->  chedyk + ar
[2基] chedyor  ->  chedyo + r
[3基] chedyteokain  ->  chedyt + eok + ain
[2基] chedytey  ->  chedyt + ey
[2基] chedyty  ->  chedyt + y
[2基] cheeckhody  ->  cheeck + hody
[2基] cheecpheey  ->  cheecp + heey
[2基] cheecthy  ->  cheect + hy
[2基] cheedalaiin  ->  cheedal + aiin
